Episode,Title,Manga Chapter
146,The Successor's Wish,Filler
147,Rogue Ninja's Past,Filler
148,Heir to Darkness,Filler
149,Separation,Filler
150,The Forbidden Jutsu Released,Filler
151,Master and Student,Filler
152,Somber News,403 | 404 | 405 | 416
153,Following the Master's Shadow,405 | 406
154,Decryption,407 | 408 | 409
155,The First Challenge,407 | 409 | 410 | 412 | 414 | 415 | 416 | 417 | 418 | 419
156,Surpassing the Master,417 | 418 | 419 | 420
157,Assault On the Leaf Village!,418 | 419 | 420 | 421
158,Power to Believe,420 | 421 | 422
159,Pain Vs. Kakashi,420 | 421 | 422 | 423 | 424 | 425 | 427
160,Mystery of Pain,424 | 425 | 426
161,"Surname Is Sarutobi! Given Name, Konohamaru!",425 | 426 | 427 | 428
162,Pain to the World,427 | 428 | 429 | 430
163,Explosion! Sage Mode,430 | 431 | 432
164,Danger! Sage Mode Limit Reached,432 | 433 | 434
165,"Nine Tails, Captured!",434 | 435 | 436
166,Confessions,437
167,Planetary Devastation,437 | 438 | 439
168,Fourth Hokage,439 | 440 | 441 | 442
169,The Two Students,442 | 443 | 444
170,"Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 1",Filler
171,"Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 2",Filler
172,Meeting,444 | 445 | 446
173,Origin of Pain,446 | 447
174,Tale of Naruto Uzumaki,448 | 449
175,Hero of the Hidden Leaf,426 | 449 | 450
176,Rookie Instructor Iruka,Filler
177,Iruka's Ordeal,Filler
178,Iruka's Decision,Filler
179,"Kakashi Hatake, the Jonin in Charge",Filler
180,Inari's Courage Put to the Test,Filler
181,Naruto's School of Revenge,Filler
182,Gaara's Bond,Filler
183,Naruto: Outbreak,Filler
184,Deploy! Team Tenten,Filler
185,Animal District,Filler
186,"Ah, the Medicine of Youth",Filler
187,Gutsy Master and Student: The Training,Filler
188,Record of the Gutsy Ninja Master and Student,Filler
189,Sasuke's Paw Encyclopedia,Filler
190,Naruto and the Old Soldier,Filler
191,Kakashi Love Song,Filler
192,Neji Chronicles,Filler
193,The Man Who Died Twice,Filler
194,The Worst Three-Legged Race,Filler
195,Team 10's Teamwork,Filler
196,Drive Towards Darkness,Filler
197,The Sixth Hokage Danzo,451 | 452 | 453
198,Five Kage Summit's Eve,453 | 454 | 455
199,Enter the Five Kage!,454 | 455 | 456 | 457
200,Naruto's Plea,457 | 458 | 459
201,Painful Decision,458 | 459 | 460
202,Racing Lightning,460 | 461 | 462
203,Sasuke's Ninja Way,462 | 463 | 464
204,Power of the Five Kage,419 | 465 | 466 | 470
205,Declaration of War,467 | 468
206,Sakura's Feelings,468 | 469 | 470
207,The Tailed Beast vs. The Tailless Tailed Beast,471 | 472 | 473
208,As One's Friend,473 | 474 | 475
209,Danzo's Right Arm,476 | 477
210,The Forbidden Visual Jutsu,478 | 479
211,Danzo Shimura,480 | 481
212,Sakura's Resolve,481 | 482
213,Lost Bonds,482
214,The Burden,483 | 484
215,Two Fates,485
216,High-Level Shinobi,482 | 486 | 487
217,The Infiltrator,487 | 488
218,The Five Great Nations Mobilize,488
219,"Kakashi Hatake, The Hokage",488
220,Prophecy of the Great Lord Elder,488 | 489
221,Storage,487 | 489 | 490
222,The Five Kage's Decision,489 | 490 | 491
223,The Young Man and the Sea,Filler
224,The Ninja of Benisu,Filler
225,The Cursed Ghost Ship,Filler
226,Battleship Island,Filler
227,The Forgotten Island,Filler
228,Fight! Rock Lee!,Filler
229,Eat or Die! Mushrooms from Hell,Filler
230,Revenge of the Shadow Clones,Filler
231,The Closed Route,Filler
232,The Girls Get-Together,Filler
233,Naruto's Imposter,Filler
234,Naruto's Favorite Student,Filler
235,The Kunoichi of Nadeshiko Village,Filler
236,Friends You Can Count On,Filler
237,"Ah, My Hero Lady Tsunade!",Filler
238,Sai's Day Off,Filler
239,The Legendary Ino-Shika-Cho Trio,Filler
240,Kiba's Determination,Filler
241,"Kakashi, My Eternal Rival!",Filler
242,Naruto's Vow,Filler
243,Land Ahoy! Is This the Island of Paradise?,491 | 492 | 493
244,Killer Bee and Motoi,493 | 494
245,The Next Challenge! Naruto vs. The Nine Tails!!,495 | 496 | 497
246,The Orange Spark,497 | 498
247,Target: Nine Tails,499 | 500
248,The Fourth Hokage's Death Match,500 | 501 | 502 | 503
249,Thank You,503 | 504
250,Battle in Paradise! the Odd Beast vs. the Monster!,505 | 506 | 507
251,The Man Named Kisame,507 | 508
252,The Angelic Herald of Death,508 | 509
253,The Bridge to Peace,510 | 511
254,The Super Secret S-Rank Mission,512 | 513
255,The Artist Returns,513 | 514
256,Assemble! Allied Shinobi Forces!,515
257,Meeting,Filler
258,Rivals,Filler
259,Rift,Filler
260,Parting,Filler
261,For My Friend,515 | 516
262,War Begins!,517 | 518
263,Sai and Shin,518 | 519
264,Secrets of the Reanimation Jutsu,519 | 520 | 521
265,An Old Nemesis Returns,520 | 521 | 522
266,The First and Last Opponent,521 | 522 | 523 | 524
267,The Brilliant Military Advisor of the Hidden Leaf,525
268,Battleground!,525 | 526
269,Forbidden Words,527 | 528
270,Golden Bonds,529 | 530
271,Road to Sakura,Filler
272,Mifune vs. Hanzo,530 | 531 | 532
273,True Kindness,530 | 531 | 532 | 533
274,The Complete Ino-Shika-Cho Formation!,533 | 534
275,A Message from the Heart,534 | 535 | 536
276,Attack of the Gedo Statue,536 | 537
277,Unison Sign,538 | 539
278,Medic Ninja in Danger,539 | 540
279,White Zetsu's Trap,Filler
280,Aesthetics of an Artist,Filler
281,The Allied Mom Force!,Filler
282,The Secret Origin of the Ultimate Tag Team!,540 | 541 | 542 | 543
283,Two Suns,543 | 544
284,Helmet Splitter: Jinin Akebino!,Filler
285,User of the Scorch Style: Pakura of the Sand!,Filler
286,Things You Can't Get Back,Filler
287,One Worth Betting On,Filler
288,Danger: Jinpachi and Kushimaru!,Filler
289,The Lightning Blade: Ameyuri Ringo!,Filler
290,Power: Episode 1,Filler
291,Power: Episode 2,Filler
292,Power: Episode 3,Filler
293,Power: Episode 4,Filler
294,Power: Episode 5,Filler
295,Power: Episode Final,Filler
296,Naruto Enters the Battle,545 | 546
297,"A Father's Hope, a Mother's Love",547 | 548
298,Contact! Naruto vs. Itachi,548 | 549 | 550
299,The Acknowledged One,551 | 552
300,"The Mizukage, the Giant Clam, and the Mirage",548 | 552 | 553 | 555 | 556
301,Paradox,552 | 553 | 554 | 555
302,Terror! the Steam Imp,556 | 557 | 558
303,Ghosts from the Past,Filler
304,The Underworld Transfer Jutsu,Filler
305,The Vengeful,Filler
306,The Heart's Eye,Filler
307,Fade Into the Moonlight,Filler
308,Crescent Moon Night,Filler
309,The A-Rank Mission: Food Fight!,Filler
310,The Fallen Castle,Filler
311,Prologue of Road to Ninja,Filler
312,The Old Master and the Dragon's Eye,Filler
313,"Rain Followed by Snow, with Some Lightning",Filler
314,The Sad Sun Shower,Filler
315,Lingering Snow,Filler
316,The Reanimated Allied Forces,Filler
317,Shino vs. Torune,Filler
318,A Hole in the Heart: the Other Jinchuriki,Filler
319,The Soul Living Inside the Puppet,Filler
320,"Run, Omoi!",Filler
321,Reinforcements Arrive,558 | 559
322,Madara Uchiha,560 | 561
323,The Five Kage Assemble,561 | 562 | 563
324,The Unbreakable Mask and the Shattered Bubble,564
325,Jinchuriki vs. Jinchuriki!,565 | 566
326,"Four Tails, the King of Sage Monkeys",553 | 567 | 568
327,Nine Tails,569
328,Kurama,569 | 570
329,Two-Man Team,570 | 571 | 572
330,Promise of Victory,573
331,Eyes That See in the Dark,574
332,The Will of Stone,575 | 576
333,The Risks of the Reanimation Jutsu,577 | 578
334,Sibling Tag Team,579 | 580
335,To Each Their Own Leaf,581 | 582
336,Kabuto Yakushi,583 | 584
337,The Izanami Activated,585 | 586
338,Izanagi and Izanami,587 | 588 p1-3
339,I Will Love You Always,588 | 589 | 590
340,"Reanimation Jutsu, Release!",589 | 590 | 591 | 592
341,Orochimaru's Return,592 | 593 | 594
342,Secret of the Transportation Technique,594 | 595 | 596 | 597
343,Who Are You?,598 | 599 | 600
344,Obito and Madara,601 | 602
345,I'm in Hell,603 | 604 | 605
346,World of Dreams,606 | 607
347,Creeping Shadow,Filler
348,The New Akatsuki,Filler
349,Kakashi: Shadow of the ANBU Black Ops – A Mask That Hides the Heart,Filler
350,Kakashi: Shadow of the ANBU Black Ops – Minato's Death,Filler
351,Kakashi: Shadow of the ANBU Black Ops: Hashirama's Cells,Filler
352,Kakashi: Shadow of the ANBU Black Ops: The Rogue Ninja Orochimaru,Filler
353,Kakashi: Shadow of the ANBU Black Ops – Orochimaru's Test Subjects,Filler
354,Kakashi: Shadow of the ANBU Black Ops – Their Own Paths,Filler
355,Kakashi: Shadow of the ANBU Black Ops – the Targeted Sharingan,Filler
356,Kakashi: Shadow of the ANBU Black Ops – a Shinobi of the Leaf,Filler
357,Kakashi: Shadow of the ANBU Black Ops – an Uchiha ANBU,Filler
358,Kakashi: Shadow of the ANBU Black Ops – Coup D'État,Filler
359,Kakashi: Shadow of the ANBU Black Ops – the Night of the Tragedy,Filler
360,Kakashi: Shadow of the ANBU Black Ops – Jonin Leader,Filler
361,Kakashi: Shadow of the ANBU Black Ops – Squad Seven,Filler
362,Kakashi's Resolve,607 | 608 | 609
363,The Allied Shinobi Forces Jutsu,610 | 611 | 612
364,The Ties That Bind,613 | 614 | 625
365,Those Who Dance in the Shadows,616 | 617 | 618
366,The All-Knowing,619 | 620 | 621
367,Hashirama and Madara,621 | 622 | 623
368,Era of Warring States,623 | 624 | 625
369,My True Dream,625 | 626 | 627
370,Sasuke's Answer,626 | 627
371,Hole,628 | 629 | 630
372,Something to Fill the Hole,630 | 631 | 632
373,"Team 7, Assemble!",632 | 633
374,The New Three-Way Deadlock,634 | 635
375,Kakashi vs. Obito,635 | 636 | 637
376,The Directive to Take the Nine Tails,Filler
377,Naruto vs. Mecha Naruto,Filler
378,The Ten Tails' Jinchuriki,638 | 639 | 640
379,An Opening,641 | 642
380,The Day Naruto Was Born,643 | 644
381,The Divine Tree,645 | 646
382,A Shinobi's Dream,647 | 648
383,Pursuing Hope,648 | 649 | 650
384,A Heart Filled With Comrades,651 | 652
385,Obito Uchiha,653
386,I'm Always Watching,653
387,The Promise That Was Kept,654 | 655
388,My First Friend,Filler
389,The Adored Elder Sister,Filler
390,Hanabi's Decision,Filler
391,Madara Uchiha Arises,656 | 657
392,The Hidden Heart,"658,659,660"
393,A True Ending,660 661 662
394,The New Chunin Exams,Filler
395,The Chunin Exams Begin!,Filler
396,The Three Questions,Filler
397,One Worthy As A Leader,Filler
398,The Night Before the Second Exam,Filler
399,Demon Desert Survival,Filler
400,As a Taijutsu User,Filler
401,The Ultimate,Filler
402,Escape vs. Pursuit,Filler
403,Unwavering Gutsiness,Filler
404,Tenten's Troubles,Filler
405,The Imprisoned Pair,Filler
406,The Place Where I Belong,Filler
407,The Yamanaka Clan: Secret Ninjutsu,Filler
408,The Cursed Puppet,Filler
409,Their Backs,Filler
410,The Hidden Plot Set Into Motion,Filler
411,The Targeted Tailed Beast,Filler
412,Neji’s Judgement,Filler
413,Hopes Entrusted to the Future,Filler
414,On the Brink of Death,663 | 664
415,The Two Mangekyo,665 | 666
416,The Formation of Team Minato,Filler
417,You’ll Be My Backup,Filler
418,The Blue Beast vs Six Paths Madara,667 | 668
419,Papa's Youth,668
420,The Eight Inner Gates Formation,669 | 670
421,The Sage of the Six Paths,671 | 672
422,The One Who Will Inherit,Filler
423,Naruto's Rival,Filler
424,To Rise Up,673 | 674
425,The Infinite Dream,675 | 676
426,The Infinite Tsukuyomi,677
427,To the Dream World,Filler
428,Where Tenten Belongs,Filler
429,"Killer Bee Rappuden, Part 1",Filler
430,"Killer Bee Rappuden, Part 2",Filler
431,"To See That Smile, Just One More Time",Filler
432,The Loser Ninja,Filler
433,The Search Mission,Filler
434,Team Jiraiya,Filler
435,Order of Priority,Filler
436,The Masked Man,Filler
437,The Sealed Power,Filler
438,The Rules or a Comrade,Filler
439,The Child of Prophecy,Filler
440,The Caged Bird,Filler
441,Returning Home,Filler
442,The Mutual Path,Filler
443,The Difference in Power,Filler
444,Leaving the Village,Filler
445,Pursuers,Filler
446,Collision,Filler
447,Another Moon,Filler
448,Comrade,Filler
449,The Shinobi Unite,Filler
450,Rival,Filler
451,Itachi's Story - Light and Darkness: Birth and Death,677 | 678 | Naruto: Itachi's Story Vol. 1
452,Itachi's Story - Light and Darkness: the Genius,Naruto: Itachi's Story Vol. 1
453,Itachi's Story - Light and Darkness: The Pain of Living,Naruto: Itachi's Story Vol. 1
454,Itachi's Story - Light and Darkness: Shisui's Request,Naruto: Itachi's Story Vol. 1
455,Itachi's Story - Light and Darkness: Moonlit Night,Naruto: Itachi's Story Vol. 1
456,Itachi's Story - Light and Darkness: the Darkness of the Akatsuki,Naruto: Itachi's Story Vol. 2
457,Itachi's Story - Light and Darkness: Partner,Naruto: Itachi's Story Vol. 2
458,Itachi's Story - Light and Darkness: Truth,Naruto: Itachi's Story Vol. 2 | 678 | 679
459,She of the Beginning,679 | 680 | 681
460,Kaguya Otsutsuki,681
461,Hagoromo and Hamura,681
462,A Fabricated Past,681
463,The No. 1 Most Unpredictable Ninja,681 | 682 | 683
464,Ninshū: The Ninja Creed,Filler
465,Ashura and Indra,Filler
466,The Tumultuous Journey,Filler
467,Ashura's Decision,Filler
468,The Successor,Filler
469,A Special Mission,Filler
470,Connecting Thoughts,684 | 685
471,The Two of Them...Always,686
472,You Better...,687
473,The Sharingan Revived,688 | 689
474,Congratulations,690 | 691
475,The Final Valley,692 | 693
476,The Final Battle,694 | 695 | 696
477,Naruto and Sasuke,696 | 697 | 698
478,The Unison Sign,698 | 699
479,Naruto Uzumaki!!,699 | 700
480,Naruto and Hinata,Filler
481,Sasuke and Sakura,Filler
482,Gaara and Shikamaru,Filler
483,Jiraiya and Kakashi,Filler
484,"Sasuke’s Story - Sunrise, Part 1: The Exploding Human",Naruto: Sasuke's Story - Sunrise
485,"Sasuke's Story - Sunrise, Part 2: Coliseum",Naruto: Sasuke's Story - SunrisePage Contributors
486,"Sasuke’s Story - Sunrise, Part 3: Fuushin",Naruto: Sasuke's Story - SunrisePage Contributors
487,"Sasuke’s Story - Sunrise, Part 4: The Ketsuryugan",Naruto: Sasuke's Story - SunrisePage Contributors
488,"Sasuke’s Story: Sunrise, Part 5: The Last One",Naruto: Sasuke's Story - SunrisePage Contributors
489,"Shikamaru’s Story, A Cloud Drifting in the Silent Dark, Part 1: The State of Affairs",Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
490,"Shikamaru’s Story, a Cloud Drifting in the Silent Dark, Part 2: Dark Clouds",Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
491,"Shikamaru’s Story, a Cloud Drifting in the Silent Dark, Part 3: Recklessness",Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
492,"Shikamaru’s Story, a Cloud Drifting in the Silent Dark, Part 4: Cloud of Suspicion",Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
493,"Shikamaru’s Story, a Cloud Drifting in the Silent Dark, Part 5: Dawn",Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
494,"Hidden Leaf Story, the Perfect Day for a Wedding, Part 1: Naruto’s Wedding",Konoha Hiden: The Perfect Day for a Wedding
495,"Hidden Leaf Story, the Perfect Day for a Wedding, Part 2: A Full-Powered Wedding Gift",Konoha Hiden: The Perfect Day for a Wedding
496,"Hidden Leaf Story, the Perfect Day for a Wedding, Part 3: Steam and Food Pills",Konoha Hiden: The Perfect Day for a Wedding
497,"Hidden Leaf Story, the Perfect Day for a Wedding, Part 4: the Kazekage’s Wedding Gift",Konoha Hiden: The Perfect Day for a Wedding
498,"Hidden Leaf Story, the Perfect Day for a Wedding, Part 5: The Last Mission",Konoha Hiden: The Perfect Day for a Wedding
499,"Hidden Leaf Story, the Perfect Day for a Wedding, Part 6: The Outcome of the Secret Mission",Konoha Hiden: The Perfect Day for a Wedding
500,"Hidden Leaf Story, the Perfect Day for a Wedding, Part 7: The Message",Konoha Hiden: The Perfect Day for a Wedding
