Episode,Manga Chapter
375,635 | 636 | 637
376,Filler
377,Filler
378,638 | 639 | 640
379,641 | 642
380,643 | 644
381,645 | 646
382,647 | 648
383,648 | 649 | 650
384,651 | 652
385,653
386,653
387,654 | 655
388,Filler
389,Filler
390,Filler
391,656 | 657
392,"658,659,660"
393,660 661 662
394,Filler
395,Filler
396,Filler
397,Filler
398,Filler
399,Filler
400,Filler
401,Filler
402,Filler
403,Filler
404,Filler
405,Filler
406,Filler
407,Filler
408,Filler
409,Filler
410,Filler
411,Filler
412,Filler
413,Filler
414,663 | 664
415,665 | 666
416,Filler
417,Filler
418,667 | 668
419,668
420,669 | 670
421,671 | 672
422,Filler
423,Filler
424,673 | 674
425,675 | 676
426,677
427,Filler
428,Filler
429,Filler
430,Filler
431,Filler
432,Filler
433,Filler
434,Filler
435,Filler
436,Filler
437,Filler
438,Filler
439,Filler
440,Filler
441,Filler
442,Filler
443,Filler
444,Filler
445,Filler
446,Filler
447,Filler
448,Filler
449,Filler
450,Filler
451,677 | 678 | Naruto: Itachi's Story Vol. 1
452,Naruto: Itachi's Story Vol. 1
453,Naruto: Itachi's Story Vol. 1
454,Naruto: Itachi's Story Vol. 1
455,Naruto: Itachi's Story Vol. 1
456,Naruto: Itachi's Story Vol. 2
457,Naruto: Itachi's Story Vol. 2
458,Naruto: Itachi's Story Vol. 2 | 678 | 679
459,679 | 680 | 681
460,681
461,681
462,681
463,681 | 682 | 683
464,Filler
465,Filler
466,Filler
467,Filler
468,Filler
469,Filler
470,684 | 685
471,686
472,687
473,688 | 689
474,690 | 691
475,692 | 693
476,694 | 695 | 696
477,696 | 697 | 698
478,698 | 699
479,699 | 700
480,Filler
481,Filler
482,Filler
483,Filler
484,Naruto: Sasuke's Story - Sunrise
485,Naruto: Sasuke's Story - SunrisePage Contributors
486,Naruto: Sasuke's Story - SunrisePage Contributors
487,Naruto: Sasuke's Story - SunrisePage Contributors
488,Naruto: Sasuke's Story - SunrisePage Contributors
489,Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
490,Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
491,Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
492,Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
493,Naruto: Shikamaru’s Story - A Cloud Drifting in the Silent Dark
494,Konoha Hiden: The Perfect Day for a Wedding
495,Konoha Hiden: The Perfect Day for a Wedding
496,Konoha Hiden: The Perfect Day for a Wedding
497,Konoha Hiden: The Perfect Day for a Wedding
498,Konoha Hiden: The Perfect Day for a Wedding
499,Konoha Hiden: The Perfect Day for a Wedding
500,Konoha Hiden: The Perfect Day for a Wedding
